[WARN] 2015-01-16 11:40:24.257	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.257	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/over.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/schedule/over.js"]
[INFO] 2015-01-16 11:40:24.267	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/schedule.ftl
[WARN] 2015-01-16 11:40:24.267	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.267	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/schedule.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/schedule/schedule.js"]
[INFO] 2015-01-16 11:40:24.267	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/trailer.ftl
[WARN] 2015-01-16 11:40:24.267	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.267	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/schedule/trailer.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/schedule/trailer.js"]
[INFO] 2015-01-16 11:40:24.277	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/agreement.ftl
[DBUG] 2015-01-16 11:40:24.277	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/agreement.ftl -> undefined
[INFO] 2015-01-16 11:40:24.277	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/app.common.ftl
[DBUG] 2015-01-16 11:40:24.277	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/app.common.ftl -> undefined
[INFO] 2015-01-16 11:40:24.277	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/down.android.ftl
[WARN] 2015-01-16 11:40:24.277	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.277	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/down.android.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/down.js"]
[INFO] 2015-01-16 11:40:24.287	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/down.ios.ftl
[WARN] 2015-01-16 11:40:24.287	-	unknown start tag[CSS],igonre start tag!
[WARN] 2015-01-16 11:40:24.297	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.297	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/down.ios.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/down.js"]
[INFO] 2015-01-16 11:40:24.297	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/help.center.ftl
[WARN] 2015-01-16 11:40:24.297	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.297	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/help.center.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/help.js"]
[INFO] 2015-01-16 11:40:24.297	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/help.detail.ftl
[DBUG] 2015-01-16 11:40:24.307	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/help.detail.ftl -> undefined
[INFO] 2015-01-16 11:40:24.307	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/login.ftl
[WARN] 2015-01-16 11:40:24.307	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.307	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/login.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/login.js"]
[INFO] 2015-01-16 11:40:24.307	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/logistics.ftl
[DBUG] 2015-01-16 11:40:24.307	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/logistics.ftl -> undefined
[INFO] 2015-01-16 11:40:24.307	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/logistics_all.ftl
[WARN] 2015-01-16 11:40:24.317	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.317	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/logistics_all.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/logistics.js"]
[INFO] 2015-01-16 11:40:24.317	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/product.ftl
[DBUG] 2015-01-16 11:40:24.317	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/product.ftl -> undefined
[INFO] 2015-01-16 11:40:24.317	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/share/home.ftl
[WARN] 2015-01-16 11:40:24.317	-	see file[D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/lib/nej/src/define.js] as nej define.js
[DBUG] 2015-01-16 11:40:24.317	-	D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/share/home.ftl -> ["D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/src/javascript/page/webview/share/home/home.js"]
[INFO] 2015-01-16 11:40:24.327	-	parse D:/code2/mmall/mmall-parent/mmall-front-web/wap-web/src/main/resources/public/templates/pages/webview/share/po.end.ftl
